description,brand,calories,protein,fat,carbohydrates,fiber,sugar,sodium
"Rice, white, with lentils, no added fat",,115.0,5.76,0.33,22.44,4.3,,198.0
"Rice, white, with lentils, NS as to fat",,150.0,5.5,4.83,21.43,4.1,,189.0
"Rice, white, with peas, fat added",,133.0,3.22,2.42,24.03,1.4,,197.0
"Rice, white, with peas, no added fat",,116.0,3.29,0.28,24.56,1.4,,202.0
"Rice, white, with peas, NS as to fat",,133.0,3.22,2.42,24.03,1.4,,197.0
"Baby Toddler cereal, rice, dry",,390.0,6.65,2.19,83.14,1.3,,32.0
"Babyfood, cereal, rice, dry fortified",,1630.0,6.65,2.19,83.1,1.3,,32.0
"Babyfood, cereal, rice, with bananas, dry",,404.0,8.7,4.2,79.9,1.0,,0.0
"Babyfood, dinner, beef and rice, toddler",,82.0,5.0,2.9,8.8,,,32.0
"Babyfood, dinner, turkey and rice, junior",,56.0,2.37,0.92,9.57,1.0,,23.0
"Babyfood, dinner, turkey and rice, strained",,52.0,2.27,1.24,7.94,0.9,,19.0
"Babyfood, plums, bananas and rice, strained",,238.0,1.1,0.3,12.7,1.3,,0.0
Beef and rice with tomato-based sauce,,136.0,6.39,5.15,15.88,0.7,,308.0
"Burrito bowl, beef or pork, with rice",,181.0,11.92,8.05,14.21,0.2,,276.0
"Burrito bowl, chicken, with beans and rice",,145.0,13.03,5.44,10.58,1.0,,311.0
"Burrito, beef, with beans and rice, cheese",,225.0,10.78,8.29,26.05,2.0,,465.0
"Burrito, chicken, with beans and rice, cheese",,209.0,11.1,6.45,26.05,2.0,,466.0
"Burrito, meat, with beans and rice, no cheese",,218.0,10.2,7.18,27.29,2.1,,453.0
"Burrito, pork, with beans and rice, cheese",,226.0,10.51,8.52,26.05,2.0,,463.0
"Candies, milk chocolate, with rice cereal",,511.0,7.64,29.4,59.7,3.3,,86.0
Chicken or turkey and rice with mushroom sauce,,135.0,5.67,5.48,15.43,0.4,,346.0
"Chicken or turkey creole, without rice",,103.0,13.8,4.22,2.99,1.1,,364.0
"Cookie, chocolate, made with rice cereal",,440.0,3.23,19.35,63.26,1.6,,210.0
"Cookies, chocolate, made with rice cereal",,1840.0,3.23,19.4,63.3,1.6,,210.0
Fish and rice with tomato-based sauce,,135.0,5.41,5.12,16.53,0.7,,310.0
Pork and rice with tomato-based sauce,,140.0,6.42,5.0,16.78,0.7,,311.0
"Rice, white, glutinous, unenriched, cooked",,406.0,2.02,0.19,21.1,1.0,,5.0
"Rice, white, glutinous, unenriched, uncooked",,370.0,6.81,0.55,81.7,2.8,,7.0
"Rice, white, steamed, Chinese restaurant",,151.0,3.2,0.27,33.9,0.9,,5.0
"RICE-A-RONI, chicken flavor, unprepared",,356.0,10.6,1.04,76.1,1.2,,884.0
Sausage and rice with tomato-based sauce,,134.0,4.63,5.49,16.4,0.7,,673.0
"Snacks, crisped rice bar, almond",,458.0,7.0,20.4,64.6,3.6,,234.0
"Snacks, oriental mix, rice-based",,2120.0,17.3,25.6,51.6,13.2,,413.0
"Soup, chicken with rice, canned, condensed",,285.0,1.84,1.56,11.6,0.9,,645.0
"Soup, tomato rice, canned, condensed",,389.0,1.64,2.12,17.1,1.3,,635.0
Stuffed cabbage rolls with beef and rice,,114.0,8.3,5.06,8.83,1.3,,338.0
Stuffed grape leaves with beef and rice,,228.0,8.15,17.03,11.3,3.1,,420.0
Stuffed grape leaves with lamb and rice,,271.0,8.17,21.52,11.89,3.3,,71.0
"Rice, wild, 100%, cooked, fat added",,122.0,3.86,3.08,20.63,1.7,,231.0
"Rice, wild, 100%, cooked, no added fat",,100.0,3.97,0.34,21.21,1.8,,238.0
"Rice, wild, 100%, cooked, NS as to fat",,122.0,3.86,3.08,20.63,1.7,,231.0
"Cereals, oats, instant, fortified, maple and brown sugar, dry",,1620.0,9.25,4.73,76.7,7.2,,505.0
"Cereals, QUAKER, Instant Oatmeal, maple and brown sugar, dry",,368.0,9.2,4.63,76.9,7.2,,506.0
"Fast foods, potatoes, hash browns, round pieces or patty",,272.0,2.58,17.0,28.9,2.7,,566.0
"Mushrooms, brown, italian, or crimini, exposed to ultraviolet light, raw",,22.0,2.5,0.1,4.3,0.6,,6.0
"Rolls, dinner, plain, commercially prepared (includes brown-and-serve)",,1300.0,10.9,6.47,52.0,2.0,,467.0
"Rice, white and wild, cooked, fat added",,112.0,2.17,2.14,20.62,0.5,,510.0
"Rice, white and wild, cooked, no added fat",,79.0,1.82,0.16,17.22,0.5,,401.0
"Rice, white and wild, cooked, NS as to fat",,112.0,2.17,2.14,20.62,0.5,,510.0
"Chicken or turkey, rice, corn, and cheese, with gravy",,149.0,5.62,7.85,14.43,0.7,,424.0
"Flavored rice and pasta mixture, reduced sodium",,111.0,2.59,3.43,17.29,0.6,,157.0
"Chicken with rice and vegetable, diet frozen meal",,111.0,9.81,3.03,10.99,0.8,,410.0
"Rice with Spanish sausage, Puerto Rican style",,289.0,8.39,13.58,32.39,0.8,,943.0
"Beef with spaetzle or rice, vegetable, frozen meal",,118.0,6.92,4.37,12.23,0.6,,278.0
"Potatoes, hash brown, frozen, plain, prepared, pan fried in canola oil",,219.0,2.65,11.6,28.5,3.2,,15.0
"Cookie, marshmallow, with rice cereal and chocolate chips",,435.0,4.55,18.18,63.26,0.0,,341.0
Cake made with glutinous rice and dried beans,,185.0,7.76,0.6,36.09,3.4,,942.0
"Rice with stewed beans, Puerto Rican style",,138.0,3.66,3.23,23.02,1.5,,464.0
"Rice with vienna sausage, Puerto Rican style",,269.0,6.46,11.6,33.54,0.8,,959.0
"Rice, white, with other vegetables, fat added",,124.0,2.3,2.41,22.68,0.8,,181.0
"Rice, white, with other vegetables, no added fat",,107.0,2.36,0.26,23.16,0.7,,185.0
"Rice, white, with other vegetables, NS as to fat",,124.0,2.3,2.41,22.68,0.8,,181.0
"Rice, white, with peas and carrots, fat added",,128.0,2.69,2.45,23.25,1.2,,225.0
"Rice, white, with peas and carrots, no added fat",,111.0,2.75,0.3,23.76,1.3,,230.0
"Rice, white, with peas and carrots, NS as to fat",,128.0,2.69,2.45,23.25,1.2,,225.0
"Rice, white, with vegetables and gravy, fat added",,107.0,2.15,2.4,18.63,1.1,,237.0
"Rice, white, with vegetables and gravy, no added fat",,95.0,2.19,0.88,18.92,1.1,,241.0
"Rice, white, with vegetables and gravy, NS as to fat",,107.0,2.15,2.4,18.63,1.1,,237.0
"Baby Toddler cereal, rice with fruit, dry",,388.0,6.51,2.17,83.4,1.7,,31.0
"Baby Toddler cereal, rice, ready-to-eat",,73.0,1.38,0.3,16.09,0.1,,2.0
"Babyfood, Baby MUM MUM Rice Biscuits",,391.0,12.5,0.87,83.2,0.0,,313.0
"Babyfood, cereal, rice, prepared with whole milk",,85.0,3.45,3.38,10.3,0.0,,42.0
"Babyfood, cereal, rice, with applesauce and bananas, strained",,334.0,1.2,0.4,17.1,1.0,,4.0
"Babyfood, dinner, turkey, rice, and vegetables, toddler",,60.0,3.8,1.6,7.5,0.8,,176.0
"Beans and rice, from fast food / restaurant",,185.0,6.29,6.99,24.41,3.6,,299.0
"Burrito bowl, beef or pork, with beans and rice",,171.0,12.49,8.48,10.58,1.0,,310.0
"Cereals ready-to-eat, RALSTON CRISP RICE",,383.0,6.69,1.26,86.2,0.7,,545.0
"Cereals ready-to-eat, rice, puffed, fortified",,402.0,6.3,0.5,89.8,1.7,,3.0
"Cereals, CREAM OF RICE, cooked with water, with salt",,52.0,0.9,0.1,11.5,0.1,,173.0
Chicken or turkey and rice with soy-based sauce,,162.0,11.97,9.21,8.01,0.5,,395.0
Chicken or turkey and rice with tomato-based sauce,,142.0,5.72,6.18,15.66,0.6,,349.0
"Cookie, peanut butter with rice cereal, no bake",,417.0,3.4,9.0,80.5,0.0,,351.0
"Cookies, marshmallow, with rice cereal and chocolate chips",,435.0,4.55,18.2,63.3,0.0,,341.0
"Infant formula, store brand, added rice",,65.0,1.49,3.36,7.17,0.0,,23.0
"Restaurant, Chinese, fried rice, without meat",,729.0,3.84,3.19,32.5,,,361.0
"Restaurant, Chinese, fried rice, without meat",,728.0,4.05,2.96,32.8,1.1,,387.0
"Restaurant, Latino, chicken and rice, entree, prepared",,174.0,12.0,5.06,20.0,1.2,,518.0
"Rice and vermicelli mix, beef flavor, unprepared",,359.0,10.8,1.27,76.0,1.6,,1340.0
"Rice mix, white and wild, flavored, unprepared",,142.0,3.49,2.57,26.3,0.8,,443.0
"Rice, white, medium-grain, cooked, unenriched",,130.0,2.38,0.21,28.6,,,0.0
"Rice, white, medium-grain, enriched, cooked",,130.0,2.38,0.21,28.6,0.3,,0.0
"Rice, white, medium-grain, raw, enriched",,360.0,6.61,0.58,79.3,1.4,,1.0
"Rice, white, medium-grain, raw, unenriched",,360.0,6.61,0.58,79.3,,,1.0
"Rice, white, short-grain, cooked, unenriched",,130.0,2.36,0.19,28.7,,,0.0
"Rice, white, short-grain, enriched, cooked",,130.0,2.36,0.19,28.7,,,0.0
"Almond milk, chocolate",,43.0,0.57,1.2,7.44,0.1,,56.0
"Almond milk, sweetened",,30.0,0.53,1.18,4.31,0.0,,58.0
"Almond milk, unsweetened",,15.0,0.55,1.22,0.34,0.0,,60.0
"Almond milk, NFS",,20.0,0.54,1.21,1.53,0.0,,59.0
"Yogurt, almond milk",,128.0,3.03,7.03,12.98,1.5,,49.0
"Candies, milk chocolate, with almonds",,526.0,9.0,34.4,53.4,6.2,,74.0
"Beverages, almond milk, chocolate, ready-to-drink",,50.0,0.63,1.25,9.38,0.4,,71.0
"Beverages, almond milk, unsweetened, shelf stable",,15.0,0.4,0.96,1.31,0.2,,72.0
"Candies, HERSHEY'S MILK CHOCOLATE WITH ALMOND BITES",,2380.0,9.76,35.7,51.7,3.6,,74.0
"Candies, TOBLERONE, milk chocolate with honey and almond nougat",,2040.0,5.71,28.6,61.2,2.5,,54.0
"Beverages, almond milk, sweetened, vanilla flavor, ready-to-drink",,38.0,0.42,1.04,6.59,0.4,,63.0
"Beverages, chocolate almond milk, unsweetened, shelf-stable, fortified with vitamin D2 and E",,90.0,0.83,1.46,1.25,0.4,,75.0
Almond butter,,641.0,20.67,52.72,21.11,9.6,,232.0
Almond chicken,,195.0,15.66,13.16,4.46,1.2,,330.0
Almond oil,,884.0,0.0,100.0,0.0,0.0,,0.0
Almond paste,,458.0,9.0,27.74,47.81,4.8,,9.0
"Almonds, flavored",,599.0,20.07,53.27,20.12,10.4,,500.0
"Almonds, NFS",,598.0,20.96,52.54,21.01,10.9,,3.0
"Almonds, salted",,601.0,20.13,53.43,20.18,10.5,,386.0
"Almonds, unroasted",,626.0,21.45,51.09,20.03,10.8,,0.0
"Almonds, unsalted",,607.0,20.33,53.96,20.38,10.6,,3.0
"Cookie, almond",,514.0,5.37,26.22,63.78,1.3,,353.0
"Nuts, almonds",,579.0,21.2,49.9,21.6,12.5,,1.0
"Oil, almond",,3700.0,0.0,100.0,0.0,0.0,,0.0
"Almonds, honey roasted",,579.0,14.11,45.34,35.84,7.3,,385.0
"Almonds, lightly salted",,604.0,20.23,53.7,20.28,10.5,,195.0
"Candies, nougat, with almonds",,1660.0,3.33,1.67,92.4,3.3,,33.0
"Nuts, almond paste",,1920.0,9.0,27.7,47.8,4.8,,9.0
"Nuts, almonds, blanched",,590.0,21.4,52.5,18.7,9.9,,19.0
"Chocolate milk, Nesquik, made with non-dairy milk",,54.0,1.35,1.64,8.41,0.4,,56.0
Coconut milk,,31.0,0.21,2.08,2.92,0.0,,19.0
"Crackers, milk",,446.0,7.6,13.8,71.7,3.4,,687.0
"Crackers, milk",,446.0,7.6,13.77,71.73,3.4,,687.0
Goat milk,,69.0,3.56,4.14,4.45,0.0,,50.0
"Milk, malted",,66.0,3.19,2.05,8.64,0.0,,60.0
"Milk, NFS",,52.0,3.33,2.14,4.83,0.0,,39.0
"Milk, whole",,61.0,3.27,3.2,4.63,0.0,,38.0
Oat milk,,45.0,0.66,2.33,5.37,0.5,,43.0
Rice milk,,47.0,0.28,0.97,9.17,0.3,,39.0
"Chocolate milk, Nesquik, NS as to type of milk",,74.0,3.41,2.15,10.09,0.3,,45.0
"Almond butter, lower sodium",,645.0,20.79,53.04,21.24,9.7,,1.0
"Almonds, chocolate covered candy",,560.0,12.97,38.81,44.04,6.4,,49.0
"Candies, sugar-coated almonds",,465.0,10.0,17.9,68.3,2.5,,13.0
"Milk dessert, frozen, milk-fat free, chocolate",,699.0,4.3,1.0,37.7,0.0,,97.0
"Protein supplement, milk based, Muscle Milk, powder",,1720.0,45.7,17.1,18.5,7.1,,329.0
Milk shake with malt,,125.0,3.76,6.11,13.64,0.2,,66.0
"Beverages, rice milk, unsweetened",,47.0,0.28,0.97,9.17,0.3,,39.0
"Tea, hot, with milk",,51.0,1.58,1.05,8.95,0.1,,20.0
"Milk, evaporated, whole",,134.0,6.81,7.56,10.04,0.0,,106.0
"Candies, milk chocolate",,2240.0,7.65,29.7,59.4,3.4,,79.0
Chocolate milk drink,,49.0,0.64,0.4,10.68,0.6,,91.0
"Chocolate milk, NFS",,65.0,3.44,0.83,10.98,0.1,,68.0
"Chocolate milk, whole",,83.0,3.17,3.39,10.34,0.8,,60.0
"Horchata, made with milk",,91.0,1.42,0.63,19.65,0.4,,9.0
Milk and cereal bar,,413.0,6.47,11.0,72.0,0.4,,319.0
"Milk, buttermilk, dried",,1620.0,34.3,5.78,49.0,0.0,,517.0
"Milk, condensed, sweetened",,321.0,7.91,8.7,54.4,0.0,,127.0
"Milk, dry, not reconstituted",,362.0,36.16,0.77,51.98,0.0,,535.0
"Milk, sheep, fluid",,108.0,5.98,7.0,5.36,0.0,,44.0
"Rice, cooked, with milk",,144.0,5.13,2.31,25.01,0.3,,357.0
"Soy milk, chocolate",,64.0,3.35,2.03,8.32,0.1,,32.0
"Soy milk, sweetened",,53.0,3.41,2.05,5.22,0.0,,33.0
"Soy milk, unsweetened",,38.0,3.55,2.12,1.29,0.0,,34.0
"Strawberry milk, NFS",,65.0,3.2,2.06,8.54,0.0,,39.0
"Strawberry milk, whole",,86.0,3.03,2.97,11.79,0.0,,38.0
"Yogurt, coconut milk",,108.0,2.37,5.61,12.91,1.2,,41.0
"Milk dessert bar, frozen, made from lowfat milk",,615.0,4.41,1.47,32.0,6.6,,92.0
"Protein supplement, milk based, Muscle Milk Light, powder",,396.0,50.0,12.0,22.0,2.0,,250.0
"Almond butter sandwich, on wheat bread",,395.0,14.62,20.93,36.97,6.9,,368.0
"Almond butter sandwich, on white bread",,397.0,13.34,20.68,39.43,4.9,,374.0
"Candies, ALMOND JOY Candy Bar",,2000.0,4.13,26.9,59.5,5.0,,142.0
"Candies, HERSHEY'S GOLDEN ALMOND SOLITAIRES",,569.0,12.0,37.1,46.8,4.4,,52.0
"Candies, HERSHEY'S, ALMOND JOY BITES",,563.0,5.58,34.5,57.5,4.3,,39.0
"Nuts, almonds, honey roasted, unblanched",,594.0,18.2,49.9,27.9,13.7,,130.0
"Snacks, crisped rice bar, almond",,458.0,7.0,20.4,64.6,3.6,,234.0
"Snacks, granola bars, hard, almond",,495.0,7.7,25.5,62.0,4.8,,256.0
"Coffee, Cappuccino, with non-dairy milk",,17.0,0.6,0.84,1.82,0.1,,29.0
"Coffee, Latte, with non-dairy milk",,28.0,0.97,1.36,2.81,0.1,,44.0
"Milk, dry, reconstituted, nonfat",,32.0,3.2,0.07,4.6,0.0,,51.0
"Milk, dry, reconstituted, whole",,76.0,4.01,4.08,5.86,0.0,,60.0
"Milk, fat free (skim)",,34.0,3.43,0.08,4.92,0.0,,41.0
"Milk, lactose free, whole",,61.0,3.27,3.2,4.63,0.0,,38.0
"Milk, low fat (1%)",,43.0,3.38,0.95,5.18,0.0,,39.0
"Coconut milk, used in cooking",,230.0,2.29,23.84,5.54,2.2,,15.0
"Milk, reduced fat (2%)",,50.0,3.36,1.9,4.9,0.0,,39.0
"Non-dairy milk, NFS",,31.0,1.14,1.6,3.04,0.1,,51.0
"Strawberry milk, reduced sugar",,59.0,3.27,2.1,6.72,0.0,,39.0
"Cheese, mozzarella, whole milk",,299.0,22.2,22.1,2.4,0.0,,486.0
"Cheese, ricotta, whole milk",,157.0,7.81,11.0,6.86,,,105.0
"Cheese, ricotta, whole milk",,150.0,7.54,10.2,7.27,0.0,,110.0
Milk 'n Cereal bar,,413.0,6.47,10.98,72.05,0.4,,319.0
"Milk shake, bottled, chocolate",,150.0,3.7,6.66,20.36,1.6,,80.0
"Milk shakes, thick chocolate",,119.0,3.05,2.7,21.2,0.3,,111.0
"Milk shakes, thick vanilla",,112.0,3.86,3.03,17.8,0.0,,95.0
"Milk, buttermilk, fluid, whole",,62.0,3.21,3.31,4.88,0.0,,105.0
"Milk, canned, condensed, sweetened",,321.0,7.91,8.7,54.4,0.0,,127.0
"Milk, imitation, non-soy",,46.0,1.6,2.0,5.3,0.0,,55.0
"Milk, indian buffalo, fluid",,97.0,3.75,6.89,5.18,0.0,,52.0
"Milk, low sodium, fluid",,61.0,3.1,3.46,4.46,0.0,,3.0
Nutrition bar (Tiger's Milk),,387.0,16.8,14.29,56.46,2.3,,168.0
"Rice, cooked with coconut milk",,267.0,3.57,17.23,26.55,1.9,,182.0
"SCHIFF,TIGER'S MILK BAR",,387.0,16.8,14.3,56.5,2.3,,168.0
"Yogurt, chocolate, nonfat milk",,469.0,3.53,0.0,23.5,1.2,,135.0
"Yogurt, nonfat milk, fruit",,46.0,3.64,0.08,7.64,0.0,,45.0
"Yogurt, nonfat milk, plain",,50.0,4.23,0.09,8.08,0.0,,51.0
"Yogurt, plain, skim milk",,233.0,5.73,0.18,7.68,0.0,,77.0
"Yogurt, plain, whole milk",,257.0,3.47,3.25,4.66,0.0,,46.0
"Yogurt, whole milk, fruit",,106.0,3.34,3.86,14.43,0.2,,41.0
"Yogurt, whole milk, plain",,78.0,3.82,4.48,5.57,0.0,,42.0
"Potatoes, mashed, prepared from granules, without milk, whole milk and margarine",,108.0,2.05,4.93,14.4,2.2,,263.0
"Almond butter and jelly sandwich, on wheat bread",,372.0,12.04,17.2,42.86,5.8,,307.0
"Almond butter and jelly sandwich, on white bread",,374.0,10.98,16.99,44.88,4.2,,313.0
"Candies, HERSHEY'S POT OF GOLD Almond Bar",,577.0,12.8,38.5,44.9,3.8,,64.0
"Nuts, almond butter, plain, with salt added",,2570.0,21.0,55.5,18.8,10.3,,227.0
"Nuts, almonds, dry roasted, with salt added",,2500.0,21.0,52.5,21.0,10.9,,234.0
"Nuts, almonds, dry roasted, with salt added",,2590.0,20.4,57.8,16.2,11.0,,256.0
"Nuts, almonds, oil roasted, lightly salted",,607.0,21.2,55.2,17.7,10.5,,143.0
"Nuts, almonds, oil roasted, with salt added",,607.0,21.2,55.2,17.7,10.5,,339.0
"Coffee, Cappuccino, decaffeinated, with non-dairy milk",,17.0,0.6,0.85,1.83,0.1,,29.0
"Coffee, Latte, decaffeinated, with non-dairy milk",,28.0,0.97,1.37,2.82,0.1,,45.0
"Milk shake, home recipe, chocolate",,120.0,3.47,6.14,13.53,0.5,,52.0
"Coffee, Iced Latte, with non-dairy milk",,24.0,1.36,0.79,2.83,0.1,,28.0
"Coffee, Latte, with non-dairy milk, flavored",,40.0,0.94,1.33,5.99,0.1,,43.0
"Milk, evaporated, fat free (skim)",,78.0,7.55,0.2,11.35,0.0,,115.0
"Milk, evaporated, NS as to fat content",,134.0,6.81,7.56,10.04,0.0,,106.0
"Frozen coffee drink, with non-dairy milk",,60.0,0.54,0.8,12.53,0.0,,26.0
"Chocolate milk, fat free (skim)",,67.0,3.39,0.0,13.46,0.0,,79.0
"Chocolate milk, low fat (1%)",,64.0,3.46,1.11,10.15,0.1,,65.0
"Chocolate milk, reduced sugar, NFS",,65.0,3.09,1.99,8.56,0.0,,46.0
"Chocolate milk, reduced sugar, whole",,73.0,3.04,2.92,8.38,0.0,,46.0
"Milk, evaporated, reduced fat (2%)",,92.0,7.42,1.96,11.15,0.0,,113.0
"Strawberry milk, fat free  (skim)",,61.0,3.18,0.09,12.06,0.0,,41.0
"Strawberry milk, low fat (1%)",,69.0,3.13,0.89,12.3,0.0,,39.0
"Candies, milk chocolate coated peanuts",,519.0,13.1,33.5,49.7,4.7,,41.0
"Candies, milk chocolate coated raisins",,1630.0,4.1,14.8,68.4,3.1,,36.0
"Candies, milk chocolate, with rice cereal",,511.0,7.64,29.4,59.7,3.3,,86.0
"Candies, ROLO Caramels in Milk Chocolate",,1980.0,5.08,20.9,68.0,0.9,,188.0
"Candies, SYMPHONY Milk Chocolate Bar",,2220.0,8.51,30.6,58.0,1.7,,101.0
"Cheese, mozzarella, part skim milk",,1060.0,24.3,15.9,2.77,0.0,,619.0
"Cheese, ricotta, part skim milk",,138.0,11.4,7.91,5.14,0.0,,99.0
"Chocolate milk, reduced fat (2%)",,76.0,2.99,1.9,12.13,0.7,,66.0
"Milk shake, fast food, chocolate",,150.0,3.7,6.66,20.36,1.6,,80.0
"Milk, buttermilk, fluid, cultured, lowfat",,40.0,3.31,1.07,4.79,0.0,,148.0
"Milk, canned, evaporated, with added vitamin A",,562.0,6.81,7.56,10.0,0.0,,106.0
"Milk, chocolate, lowfat, reduced sugar",,237.0,3.43,1.04,7.68,0.0,,66.0
"Milk, dry, nonfat, calcium reduced",,354.0,35.5,0.2,51.8,0.0,,2280.0
"Milk, malted, dry mix, not reconstituted",,372.0,0.0,0.0,92.96,0.0,,530.0
"Milk, producer, fluid, 3.7% milkfat",,64.0,3.28,3.66,4.65,0.0,,49.0
Nutritional powder mix (Muscle Milk),,411.0,45.71,17.14,18.5,7.1,,329.0
"Strawberry milk, reduced fat (2%)",,71.0,3.16,1.8,10.7,0.0,,39.0
"Yogurt, Greek, fruit, whole milk",,441.0,7.33,3.0,12.3,0.0,,37.0
"Yogurt, Greek, nonfat milk, fruit",,83.0,9.21,0.34,10.81,0.1,,36.0
"Yogurt, Greek, nonfat milk, plain",,59.0,10.3,0.37,3.64,0.0,,36.0
"Yogurt, Greek, plain, whole milk",,406.0,9.0,5.0,3.98,0.0,,35.0
"Yogurt, Greek, whole milk, fruit",,114.0,7.85,3.91,11.8,0.1,,34.0
"Yogurt, Greek, whole milk, plain",,94.0,8.78,4.39,4.75,0.0,,34.0
"Yogurt, low fat milk, fruit",,93.0,4.57,1.34,15.69,0.2,,65.0
"Yogurt, low fat milk, plain",,63.0,5.25,1.55,7.04,0.0,,70.0
"Yogurt, NS as to type of milk or flavor",,93.0,4.57,1.34,15.69,0.2,,65.0
"Yogurt, NS as to type of milk, fruit",,93.0,4.57,1.34,15.69,0.2,,65.0
"Yogurt, NS as to type of milk, plain",,63.0,5.25,1.55,7.04,0.0,,70.0
"Hot chocolate / cocoa, made with non-dairy milk",,76.0,0.93,1.3,15.02,0.1,,69.0
"Beverages, chocolate-flavor beverage mix for milk, powder, with added nutrients, prepared with whole milk",,89.0,3.27,3.17,11.9,0.4,,50.0
"Milk, lowfat, fluid, 1% milkfat, with added nonfat milk solids, vitamin A and vitamin D",,43.0,3.48,0.97,4.97,0.0,,52.0
"Potatoes, mashed, dehydrated, prepared from flakes without milk, whole milk and butter added",,97.0,1.77,5.13,10.9,0.8,,164.0
"Potatoes, mashed, dehydrated, prepared from flakes without milk, whole milk and margarine added",,113.0,1.9,5.6,15.0,2.3,,332.0
"Potatoes, mashed, dehydrated, prepared from granules without milk, whole milk and butter added",,108.0,2.05,4.96,14.4,2.2,,257.0
"Candies, MARS SNACKFOOD US, MARS Almond Bar",,1950.0,8.1,23.0,62.7,2.0,,170.0
"Candies, MARS SNACKFOOD US, SNICKERS Almond bar",,1970.0,5.4,22.4,64.7,2.6,,156.0
"Nuts, almond butter, plain, without salt added",,2570.0,21.0,55.5,18.8,10.3,,7.0
"Nuts, almonds, dry roasted, without salt added",,2500.0,21.0,52.5,21.0,10.9,,3.0
"Nuts, almonds, oil roasted, without salt added",,2540.0,21.2,55.2,17.7,10.5,,1.0
"Snacks, granola bars, soft, almond, confectioners coating",,455.0,8.6,20.0,60.1,4.3,,486.0
"Coffee, Iced Latte, decaffeinated, with non-dairy milk",,18.0,0.61,0.86,1.86,0.1,,30.0
"Milk, lactose free, reduced fat (2%)",,50.0,3.36,1.9,4.9,0.0,,39.0
"Coffee, Cafe Mocha, decaffeinated, with non-dairy milk",,50.0,0.88,1.24,8.8,0.1,,54.0
"Coffee, Latte, decaffeinated, with non-dairy milk, flavored",,40.0,0.94,1.33,6.01,0.1,,43.0
"Milk, nonfat, fluid, with added nonfat milk solids, vitamin A and vitamin D (fat free or skim)",,37.0,3.57,0.25,5.02,0.0,,53.0
"Milk, reduced fat, fluid, 2% milkfat, with added nonfat milk solids and vitamin A and vitamin D",,51.0,3.48,1.92,4.97,0.0,,52.0
"Milk, reduced fat, fluid, 2% milkfat, with added nonfat milk solids, without added vitamin A",,56.0,3.95,1.98,5.49,0.0,,59.0
"Frozen coffee drink, decaffeinated, with non-dairy milk",,70.0,1.58,1.0,13.61,0.0,,18.0
"Frozen mocha coffee drink, with non-dairy milk",,58.0,0.52,0.75,12.22,0.0,,39.0
"Milk shake, home recipe, chocolate, light",,97.0,3.99,3.31,12.93,0.3,,51.0
"Coffee, Iced Cafe Mocha, with non-dairy milk",,42.0,0.55,0.78,8.07,0.0,,41.0
"Coffee, Iced Latte, with non-dairy milk, flavored",,31.0,0.59,0.84,5.16,0.0,,28.0
"Milk, lactose free, fat free (skim)",,34.0,3.43,0.08,4.92,0.0,,41.0
"Milk, lactose free, low fat (1%)",,43.0,3.38,0.95,5.18,0.0,,39.0
"Candies, MARS SNACKFOOD US, COCOAVIA Chocolate Covered Almonds",,573.0,9.51,37.1,50.2,10.4,,9.0
"Cereals ready-to-eat, POST, HONEY BUNCHES OF OATS, with almonds",,1710.0,7.7,7.3,79.6,5.5,,417.0
"Cereals, QUAKER, oatmeal, REAL MEDLEYS, peach almond, dry",,1620.0,10.1,9.84,68.6,7.4,,201.0
"Nuts, almonds, oil roasted, with salt added, smoke flavor",,2540.0,21.4,55.9,17.9,10.7,,548.0
"Oatmeal, regular or quick, made with non-dairy milk, fat added",,107.0,3.31,4.21,14.18,1.8,,127.0
"Oatmeal, regular or quick, made with non-dairy milk, no added fat",,95.0,3.35,2.71,14.42,1.8,,117.0
"Babyfood, cereal, barley, prepared with whole milk",,352.0,3.73,3.26,9.94,0.6,,43.0
"Babyfood, cereal, mixed, prepared with whole milk",,96.0,4.14,3.38,12.3,0.8,,42.0
"Babyfood, cereal, oatmeal, prepared with whole milk",,116.0,5.0,4.1,15.3,1.1,,46.0
"Babyfood, cereal, rice, prepared with whole milk",,85.0,3.45,3.38,10.3,0.0,,42.0
"Beverages, chocolate syrup, prepared with whole milk",,377.0,3.07,2.96,12.8,0.3,,47.0
"Beverages, CYTOSPORT, Muscle Milk, ready-to-drink",,52.0,5.87,2.17,2.28,0.2,,95.0
"Candies, milk chocolate coated coffee beans",,2300.0,7.41,33.2,55.2,5.7,,70.0
"Cheese, mozzarella, whole milk, low moisture",,318.0,21.6,24.6,2.47,0.0,,710.0
"Coffee, Cafe Mocha, with non-dairy milk",,50.0,0.88,1.24,8.76,0.1,,54.0
"Egg casserole with bread, cheese, milk and meat",,175.0,11.43,9.75,10.22,0.4,,420.0
"Glutino, Gluten Free Wafers, Milk Chocolate",,541.0,4.06,30.4,62.8,1.6,,122.0
"Milk substitutes, fluid, with lauric acid oil",,61.0,1.75,3.41,6.16,0.0,,78.0
"Milk, buttermilk, fluid, cultured, reduced fat",,233.0,4.1,2.0,5.3,0.0,,105.0
"Milk, chocolate beverage, hot cocoa, homemade",,324.0,3.52,2.34,10.7,1.0,,44.0
"Milk, dry, whole, with added vitamin D",,496.0,26.3,26.7,38.4,0.0,,371.0
